ID;Housing_informality;Labor_informality;Unemployment;Tertiary_education;Female_household;Children;Population;Area;Housing_informality_2011
205;7.573947;47.53611;5.605845;3.252592;10.97483;7.723423;22158.07;286876.2;6.25
206;12.5;16.12903;8.823529;2.597403;14.28571;2.597403;6943.794;375251.8;12.90323
208;13.20755;56.96202;3.658537;2.688172;17.74194;6.989247;16768.78;414085.1;12.2807
209;2.499915;20.00218;20.63448;14.07379;15.55524;1.481452;12164.34;354709.9;0
210;3.448319;39.34306;7.5763;5.880627;16.47066;5.881736;15310.48;381846.8;8.064516
213;0;46.15385;7.142857;3.448276;10.34483;5.172414;5230.39;420655.1;0
214;12.48746;63.32888;6.242164;0;14.43533;7.776985;8123.464;143221.2;7.138047
215;0;17.20439;2.10561;25.42995;13.36327;2.586439;20887.13;707042.8;0
217;2.271769;29.49922;0;14.48496;16.66443;2.896992;12317.48;275924.8;3.225806
218;17.88229;43.29545;3.957195;5.904586;19.40271;4.643873;21425.07;432209.5;9.859155
223;15.14959;17.48502;0;22.57665;19.73761;6.849014;9093.871;708347.7;5.164993
224;17.95914;46.87902;11.9294;1.090287;11.63798;8.366267;24785.25;438651.1;19.14894
225;5.882754;24.13902;3.333478;5.42589;15.50379;5.426564;11636.76;186852.7;5.726405
226;0;19.23077;3.703704;18.64407;32.20339;0;5323.283;300255.1;0
230;10.22373;45.08221;8.908647;1.955665;13.71401;5.890203;13836.31;300207.1;4.444445
231;0;18.7556;3.032458;32.79709;7.803205;4.691702;5757.323;367643.3;0
232;2.941176;4.878049;6.818182;26.16822;12.14953;2.803738;9633.963;355874.3;0
233;0;24.48996;9.260863;27.12169;21.18633;2.543051;10643.96;534954.1;3.287841
234;7.71127;58.16645;6.787486;2.142326;17.13861;7.845657;12657.66;205386.9;17.38599
235;5.106319;29.2843;9.370085;7.416483;17.03336;3.696236;12161.8;234879.8;5.927552
237;5.128205;38;13.7931;5.035971;8.633094;7.913669;12534.9;293000.7;0
238;5.825456;31.62453;17.02126;4.999924;14.44452;8.333286;32474.84;647693.5;6.680412
242;4.347709;27.27213;5.714005;12.12076;16.66606;0;5955.038;340210;0
